cod_material,nr_qtd_estoque,ds_classe_estoque,ds_tipo_estoque
413b4c753b6736fa52924d0f1686b1f0a1deca5bad60d77f3a164707c969f263,8.0,Utilização Livre,Matéria Prima
fb3d73a3a5bf7860d96cdc8b4c85f88c9e9d3b1526090b759ceb714f1decf58c,429.0,Utilização Livre,Matéria Prima
aece7e7f1cbb90e5ae75e56d17189aba63a88bffc6770aa7622a5527f573f52b,4.0,Qualidade,Produto em Elaboração
ddccace7e1b6c0da5cdc19152dd7a0d5fe073663aa47904deaab00861b3d1c4f,3.0,Utilização Livre,Matéria Prima
7c7d49867ce0f7e32b90857dc6fa81eb664d03f963c9c5dfd2b259f1df0f16f3,1.0,Utilização Livre,Matéria Prima
60ff8ae2fef04c8c275665ffd408c7e3906d864eb94aa9f823c2551bff3dffb7,3.0,Utilização Livre,Matéria Prima
0103b90cf8e5589086911b44aa2a560f98ebadc9b0fcf1b3ef32faece5c02fcb,50.0,Utilização Livre,Produto Pronto
f4ca43b766a62041b4aff0e9b45959485d467628a437420d7168e628b2f7bc9f,117.0,Utilização Livre,Matéria Prima
5caab07c2517f2201a1357af55a29d4f4ce48ee6f564fbe45e9998754864cb84,2.0,Utilização Livre,Matéria Prima
d1a5e8b27d18046ca8e9f70a8ebfe38a7f94132093f3208297dafe7d85cf06af,2.0,Utilização Livre,Matéria Prima
50649d4f6c7a8e3e8e3a010918bf78a0931c3fc1a4a37e034810f823b03a87b8,4.0,Utilização Livre,Matéria Prima
ed2f3ccf2df2f0eeb8fe11340ef82eb7b40b7c5aba55b1a68c57beb1ee28a98d,989.0,Utilização Livre,Matéria Prima
90eeb39d9941d7a10b3951ea3be249eb78c61784ee362cec9442a30b0a49e8d3,11.0,Utilização Livre,Matéria Prima
aae719f8430285dc0fd39292c725b80d32f03efd4580ba77f1bb9653de2b071a,783.0,Utilização Livre,Produto em Elaboração
3cae2a05c5de44721afe501ec7b320269732f8294efc1a1e7fa3eda2be7eb665,1.0,Utilização Livre,Matéria Prima
f8e576705290f63fe7a307f3c2772ad69c24d85cfa6817c408ba1a77ddd7fd3f,1449.0,Utilização Livre,Matéria Prima
